"label","dataset_folder","local_file","source_page","raw_url"
"pepper bell bacterial spot","Pepper,_bell___Bacterial_spot","pepper-bell-bacterial-spot.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Pepper,_bell___Bacterial_spot/0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot%208964.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___Bacterial_spot/0022d6b7-d47c-4ee2-ae9a-392a53f48647___JR_B.Spot%208964.JPG"
"pepper bell healthy","Pepper,_bell___healthy","pepper-bell-healthy.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Pepper,_bell___healthy/00100ffa-095e-4881-aebf-61fe5af7226e___JR_HL%207886.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Pepper%2C_bell___healthy/00100ffa-095e-4881-aebf-61fe5af7226e___JR_HL%207886.JPG"
"potato early blight","Potato___Early_blight","potato-early-blight.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Potato___Early_blight/001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B%208178.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Potato___Early_blight/001187a0-57ab-4329-baff-e7246a9edeb0___RS_Early.B%208178.JPG"
"potato late blight","Potato___Late_blight","potato-late-blight.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Potato___Late_blight/0051e5e8-d1c4-4a84-bf3a-a426cdad6285___RS_LB%204640.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Potato___Late_blight/0051e5e8-d1c4-4a84-bf3a-a426cdad6285___RS_LB%204640.JPG"
"tomato early blight","Tomato___Early_blight","tomato-early-blight.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Tomato___Early_blight/0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B%208389.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Early_blight/0012b9d2-2130-4a06-a834-b1f3af34f57e___RS_Erly.B%208389.JPG"
"tomato late blight","Tomato___Late_blight","tomato-late-blight.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Tomato___Late_blight/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B%204946.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Late_blight/0003faa8-4b27-4c65-bf42-6d9e352ca1a5___RS_Late.B%204946.JPG"
"tomato septoria leaf spot","Tomato___Septoria_leaf_spot","tomato-septoria-leaf-spot.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Tomato___Septoria_leaf_spot/002533c1-722b-44e5-9d2e-91f7747b2543___Keller.St_CG%201831.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Septoria_leaf_spot/002533c1-722b-44e5-9d2e-91f7747b2543___Keller.St_CG%201831.JPG"
"tomato tomato yellow leaf curl virus","Tomato___Tomato_Yellow_Leaf_Curl_Virus","tomato-tomato-yellow-leaf-curl-virus.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/00139ae8-d881-4edb-925f-46584b0bd68c___YLCV_NREC%202944.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___Tomato_Yellow_Leaf_Curl_Virus/00139ae8-d881-4edb-925f-46584b0bd68c___YLCV_NREC%202944.JPG"
"tomato healthy","Tomato___healthy","tomato-healthy.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Tomato___healthy/000146ff-92a4-4db6-90ad-8fce2ae4fddd___GH_HL%20Leaf%20259.1.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Tomato___healthy/000146ff-92a4-4db6-90ad-8fce2ae4fddd___GH_HL%20Leaf%20259.1.JPG"
"squash powdery mildew","Squash___Powdery_mildew","squash-powdery-mildew.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Squash___Powdery_mildew/0045a100-36d3-45df-b417-d487d6e07eb4___UMD_Powd.M%200003.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Squash___Powdery_mildew/0045a100-36d3-45df-b417-d487d6e07eb4___UMD_Powd.M%200003.JPG"
"apple cedar apple rust","Apple___Cedar_apple_rust","apple-cedar-apple-rust.JPG","https://github.com/spMohanty/PlantVillage-Dataset/blob/master/raw/color/Apple___Cedar_apple_rust/025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust%203655.JPG","https://raw.githubusercontent.com/spMohanty/PlantVillage-Dataset/master/raw/color/Apple___Cedar_apple_rust/025b2b9a-0ec4-4132-96ac-7f2832d0db4a___FREC_C.Rust%203655.JPG"
